ref;value;datasheet;footprint;Field1;Field2;Field3;Field4;Field5;Field6;Field7
R5;10k;http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf;;http://www.tme.eu/pl/Document/e5152f6c2c4f933b61676f6de7ae79a8/dcrcw.pdf;Vishay;CRCW080510K0JNTABC;TME;CRCW080510K0JNTABC;;;
RF1;R;;;;;;;;;;
RF2;R;;;;;;;;;;
RF3;R;;;;;;;;;;
S0;DTSM-6;http://www.jm.pl/karty/DTSJW.pdf;switch-tact-DTSM-6;http://www.jm.pl/karty/DTSJW.pdf;Ninigi;TACTB-64K-F;TME;TACTB-64K-F;;;
S1;MX1A;;;;;;;;;;
S2;MX1A;;;;;;;;;;
S3;MX1A;;;;;;;;;;
S4;MX1A;;;;;;;;;;
S5;MX1A;;;;;;;;;;
S6;MX1A;;;;;;;;;;
S7;MX1A;;;;;;;;;;
S8;MX1A;;;;;;;;;;
S9;MX1A;;;;;;;;;;
S10;MX1A;;;;;;;;;;
S11;MX1A;;;;;;;;;;
S12;MX1A;;;;;;;;;;
S13;MX1A;;;;;;;;;;
S14;MX1A;;;;;;;;;;
S15;MX1A;;;;;;;;;;
S16;MX1A;;;;;;;;;;
S17;MX1A;;;;;;;;;;
S18;MX1A;;;;;;;;;;
S19;MX1A;;;;;;;;;;
S20;MX1A;;;;;;;;;;
S21;MX1A;;;;;;;;;;
S22;MX1A;;;;;;;;;;
S23;MX1A;;;;;;;;;;
S24;MX1A;;;;;;;;;;
S51;MX1A;;;;;;;;;;
S171;MX1A;;;;;;;;;;
S181;MX1A;;;;;;;;;;
S191;MX1A;;;;;;;;;;
S201;MX1A;;;;;;;;;;
S211;MX1A;;;;;;;;;;
X1;ASX3F;;;;YIC;16.00M-SMDXT324;TME;16.00M-SMDXT324;;;
